username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
dynaaa__,jss une go wsh,London,826,803,15327,2018-12-18 11:22:59,2021-01-13 13:28:31,27154,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
Bouenikalamio,De la lumière simplement de la lumière même au-dessus des pires choses. Nietzsche,"Maine-et-Loire, Pays de la Loi",140,67,5951,2016-03-15 18:12:16,2021-01-13 13:28:24,0,"La mutation E484K ""pourrait être le début des problèmes"" pour les vaccins, juge pour sa part le Pr Gupta.
#vaccination #antivax #BigPharma 
https://t.co/sukGYfWJQx","[{'text': 'vaccination', 'indices': [106, 118]}, {'text': 'antivax', 'indices': [119, 127]}, {'text': 'BigPharma', 'indices': [128, 138]}]"
_RUSSIE_,Canal d'informations sur la Russie en Français  #Russie #Russia #РФ #Россия,République de Bachkirie,1527,1119,15207,2015-01-31 14:07:06,2021-01-13 13:28:24,0,"#Russie #Covid19 ...  la #vaccination contre le #coronavirus a été officiellement suspendue à #SaintPétersbourg en raison d'une #pénurie  ,  a l'heure actuelle, seulement 14 249 personnes ont été vaccinées 
 https://t.co/OUm0T9uRKO  #Kremlin #Russia","[{'text': 'Russie', 'indices': [0, 7]}, {'text': 'Covid19', 'indices': [8, 16]}, {'text': 'vaccination', 'indices': [25, 37]}, {'text': 'coronavirus', 'indices': [48, 60]}, {'text': 'SaintPétersbourg', 'indices': [94, 111]}, {'text': 'pénurie', 'indices': [128, 136]}, {'text': 'Kremlin', 'indices': [233, 241]}, {'text': 'Russia', 'indices': [242, 249]}]"
Silverghost111,"parfois peur de demain, peur de t'oter la vie
https://t.co/Cn2MKKctOx",,1890,705,16039,2018-06-07 20:27:18,2021-01-13 13:28:13,27154,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
95Beu,"moi toujours, 95200 dans l'âme Sarcelles la capitale, je dit ce que je veux ou et quand je veux !!!",,60,45,4528,2020-09-30 21:07:38,2021-01-13 13:27:38,0,"@Essity_FR @Chatellerault86 Putain je serais salarié dans une société de grande tapettes soumise comme ça !!! Qu'ils viennent me dire de porter la muselière ou un truc autour du coup comme du bétail, tu va voir comment jvais tous vous ENCULÉ vos MERES un par un, juste des gifles #Essity #Covid_19","[{'text': 'Essity', 'indices': [280, 287]}, {'text': 'Covid_19', 'indices': [288, 297]}]"
AlbaRockWater,#Auteure de romans et nouvelles 🎶#Rédactrice 🖊️🍀🌻 #gimmeshelter 🎶🎸,"Angers, Pays de la Loire",900,367,3583,2011-05-31 20:15:04,2021-01-13 13:26:59,0,""" Ce ne sont pas les mesures sociales qui changent la mortalité""... #Raoult #Covid19 #vaccination - Si je devais être soignée #COVID19, ce serait de cette façon là... https://t.co/FFTCc1nG0y","[{'text': 'Raoult', 'indices': [68, 75]}, {'text': 'Covid19', 'indices': [76, 84]}, {'text': 'vaccination', 'indices': [85, 97]}, {'text': 'COVID19', 'indices': [126, 134]}]"
Annie_Rullier,"De niort
Baccalauréat au lycée Paul Guérin
Travaille dans une mutuelle à Niort",Villenruve La Comtesse,242,46,505,2014-09-23 18:43:14,2021-01-13 13:26:53,5,"▶️ #Vaccination – « Ce qui honore la médecine française c’est de ne pas regarder uniquement chaque individu à l’argent qu’il pourrait rapporter à la société mais de le soigner en tant qu’être vivant. »

Pr Bruno Mégarbane

#24hPujadas #LCI #La26 ⤵️ https://t.co/kjGNC3Ujes","[{'text': 'Vaccination', 'indices': [19, 31]}]"
Wort_FR,"Compte officiel francophone du Luxemburger Wort, qui détaille l'actualité du #Luxembourg, mais aussi de la #GrandeRégion",Luxembourg,555,16022,42902,2011-01-25 08:32:30,2021-01-13 13:26:27,0,15.775 vaccins #anticovid ont été reçus à ce jour au #Luxembourg. Un stock que doivent gérer les autorités pour que les rappels de vaccination puissent être assurés en temps et en heure #vaccination @gouv_lu @sante_lu @pfizer @moderna_tx #COVID19 https://t.co/1BoZvuZZia https://t.co/1X7uWKoGCj,"[{'text': 'anticovid', 'indices': [15, 25]}, {'text': 'Luxembourg', 'indices': [53, 64]}, {'text': 'vaccination', 'indices': [186, 198]}, {'text': 'COVID19', 'indices': [238, 246]}]"
SachaHalphen,🗣Porte-parole et Conseiller National des @JeunesMacron en charge des relations extérieures | Élu à #Levallois,"Levallois-Perret, France",2210,3383,2102,2017-10-17 08:56:54,2021-01-13 13:26:10,1,Arrêtons les effets de manches sur le centre de #vaccination à #Levallois ! https://t.co/NwlraC1iGe,"[{'text': 'vaccination', 'indices': [68, 80]}, {'text': 'Levallois', 'indices': [83, 93]}]"
garfant,Dénoncer les injustices - mettre les cons face à leur contradiction - le tout avec humour et désinvolture : voilà mon programme,esprit libre,499,90,7033,2012-01-20 15:58:01,2021-01-13 13:25:48,0,"A peine commencé et la campagne de #vaccination #covid19 et çà merde déjà  : les numéros ne répondent pas et le site #Doctolib est planté 
#aucunerigueur = le #fiasco est #enmarche https://t.co/bF7LDIZhPe","[{'text': 'vaccination', 'indices': [35, 47]}, {'text': 'covid19', 'indices': [48, 56]}, {'text': 'Doctolib', 'indices': [117, 126]}, {'text': 'aucunerigueur', 'indices': [139, 153]}, {'text': 'fiasco', 'indices': [159, 166]}, {'text': 'enmarche', 'indices': [171, 180]}]"
DulasLeo,"Autunois 🇫🇷 | Conseiller municipal jeune @AutunVille 🗂 | Responsable du pôle mobilisation & événementiel des @jeunesmacronbfc 📑
- @enmarchefr @MoDem 💪🏻","Autun, France",4658,4816,1940,2019-01-23 18:35:00,2021-01-13 13:25:48,31,"🗣L’application #TousAntiCovid permet quotidiennement de :

✔️Suivre l’évolution de l’épidémie #COVID19 
✔️Se signaler si vous est contaminé 

Et maintenant de suivre l’évolution de la campagne de #vaccination  

Installez-la vous aussi : 
https://t.co/Fp4Dweg7ES https://t.co/wIUalMtZQI","[{'text': 'TousAntiCovid', 'indices': [35, 49]}, {'text': 'COVID19', 'indices': [114, 122]}]"
jaidemapharma,"#Jaidemapharmacie est un concept à l'initiative de @Kozeagroup, pour aider les pharmacies dans la lutte contre le #Covid19. Merci à vous !",Lyon,252,168,739,2020-03-27 16:02:34,2021-01-13 13:24:58,28,#Vaccination | Quelles étapes pour la campagne de vaccination contre la #COVID19 ? ⤵,"[{'text': 'Vaccination', 'indices': [18, 30]}, {'text': 'COVID19', 'indices': [90, 98]}]"
